No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
4783,ZEUS,"Olympic Steel, Inc.",Basic Materials,Steel & Iron,USA,232.49M,-,12.38,-,0.22,1.00,101.08,-,0.35%,-,-0.10,96.00%,37.82%,-15.40%,34.29%,-3.50%,58.00%,7.30%,10.31M,9.09M,4.10%,0.36%,77.20%,1.54%,3.38%,1.87,-0.20%,-0.40%,1.00%,3.50,1.10,0.65,0.66,14.70%,0.50%,-0.10%,21.83%,20.72%,-5.25%,-2.56%,4.86%,-6.86%,1.89,1.32,7.20%,6.31%,21.36%,9.72%,-1.01%,-16.97%,33.91%,-27.51%,33.91%,63.46,4.98%,11.70%,2.30,164.51K,4.14,22.55,17.26%,"681,011",Apr 28/b,23.67,
4782,ZEN,"ZENDESK, INC.",Technology,Application Software,USA,2.80B,-,-,-,8.98,9.21,12.46,-,-,-,-1.12,-12.60%,88.20%,-55.60%,26.23%,82.10%,6.70%,41.50%,97.46M,92.46M,2.10%,-7.27%,91.60%,0.73%,4.08%,3.79,-23.10%,-35.20%,-35.20%,1.70,1.70,0.00,0.00,69.90%,-33.40%,-33.30%,1.48%,3.16%,21.21%,11.43%,26.71%,35.61%,-,0.64,1.99%,2.21%,2.70%,3.99%,7.61%,-0.79%,9.44%,-9.80%,45.42%,59.42,0.70%,0.00%,1.80,993.90K,1.29,28.75,0.70%,"1,284,196",May 04/a,32.41,
4781,ZDGE,"Zedge, Inc.",Technology,Multimedia & Graphics Software,USA,29.59M,-,-,-,2.96,2.69,5.28,-,-,-,-0.07,99.80%,-,-,-,-,-127.90%,-25.70%,9.64M,6.64M,18.20%,20.04%,30.60%,-,0.33%,0.85,-5.10%,-6.10%,9.70%,4.00,4.00,0.00,0.00,85.20%,-6.30%,-6.20%,0.33%,-1.60%,-6.12%,1.32%,-,-1.92%,-,0.11,3.78%,4.31%,3.84%,-4.34%,-12.56%,-15.19%,16.73%,-54.11%,19.92%,50.22,0.66%,0.00%,-,25.94K,0.18,3.07,0.66%,"4,785",-,-,
4780,ZBRA,Zebra Technologies Corporation,Industrial Goods,Diversified Machinery,USA,4.96B,-,13.38,-,1.39,6.17,31.81,16.82,-,-,-2.65,14.30%,10.45%,-25.40%,11.00%,29.40%,161.10%,-0.90%,52.64M,52.23M,0.60%,-17.07%,98.80%,0.19%,4.12%,6.78,-2.90%,-17.00%,2.10%,1.30,0.90,3.34,3.34,45.90%,2.20%,-3.80%,3.63%,6.12%,11.48%,40.39%,50.11%,9.92%,1.63,2.03,2.37%,2.12%,3.22%,5.09%,23.35%,-2.35%,11.80%,-2.35%,104.36%,61.95,0.15%,-0.03%,2.10,316.89K,0.98,94.27,0.12%,"309,964",May 25/b,100.75,
4779,ZBK,Zions Bancorporation,Financial,Regional - Pacific Banks,USA,6.06B,15.00,-,-,2.65,0.88,-,-,-,-,1.99,-,-,-,-,-,34.10%,12.20%,203.09M,199.25M,-,-,-,-,0.01%,4.49,-,-,-,-,-,-,-,-,-,-,0.54%,2.55%,2.34%,1.85%,7.90%,8.65%,-,0.29,0.75%,0.72%,2.12%,2.09%,3.05%,-0.30%,5.11%,-2.54%,12.75%,61.30,0.71%,0.10%,-,2.78K,0.17,29.84,0.82%,475,-,-,
4778,ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Appliances & Equipment,USA,23.76B,79.19,12.77,8.14,3.09,2.48,37.47,26.01,0.80%,62.80%,1.51,95.10%,8.97%,-17.80%,9.73%,11.50%,-44.50%,4.10%,198.60M,198.60M,0.20%,-20.75%,87.30%,-0.02%,1.75%,2.97,1.20%,3.20%,3.50%,2.00,1.10,1.10,1.16,69.00%,10.70%,4.00%,-1.27%,-1.42%,2.50%,-0.75%,4.91%,16.17%,1.18,2.27,1.90%,1.38%,-1.09%,0.08%,1.54%,-4.60%,4.04%,-9.79%,25.66%,46.87,1.61%,-0.30%,2.00,1.17M,2.02,119.65,1.31%,"2,363,715",Apr 27/b,134.50,
4777,ZAYO,"ZAYO GROUP HOLDINGS, INC.",Technology,Networking & Communication Devices,USA,8.48B,-,65.19,-,4.24,6.62,58.86,-,-,-,-0.06,52.50%,66.56%,-60.50%,10.00%,43.60%,282.70%,37.10%,241.70M,169.97M,2.70%,-51.77%,94.90%,2.02%,5.67%,3.93,-0.20%,-1.20%,3.70%,0.80,0.80,3.24,3.24,64.60%,13.70%,-0.70%,2.45%,6.56%,8.98%,11.87%,35.93%,6.73%,-,0.63,1.85%,1.85%,4.46%,7.12%,11.35%,-1.18%,14.46%,-1.63%,37.80%,64.95,0.52%,0.26%,1.90,2.45M,0.66,35.07,0.78%,"1,612,931",May 09/a,37.36,
4776,ZAIS,"ZAIS Group Holdings, Inc.",Financial,Asset Management,USA,32.66M,-,-,-,1.03,0.74,0.07,-,-,-,-0.37,70.40%,-,-,-,-,142.60%,233.90%,13.78M,12.81M,2.70%,0.00%,72.10%,107.20%,5.09%,0.75,-2.60%,-12.40%,-27.70%,1.20,1.20,0.00,0.00,-,-39.10%,-16.30%,2.16%,-3.27%,41.07%,28.42%,-18.56%,61.22%,1.57,0.24,6.19%,7.81%,-1.04%,-5.64%,10.58%,-43.44%,17.91%,-54.25%,83.72%,46.69,0.00%,-0.42%,-,869.78K,0.11,2.37,-0.42%,"97,238",Mar 10/b,-,
4775,ZAGG,ZAGG Inc,Services,"Specialty Retail, Other",USA,192.55M,-,-,-,0.48,1.70,16.60,-,-,-,-0.56,-203.90%,-,-23.60%,5.00%,17.50%,-183.50%,46.20%,27.12M,27.01M,4.90%,0.00%,83.20%,-0.01%,8.30%,8.61,-5.10%,-12.50%,-7.90%,1.10,0.70,0.08,0.44,31.80%,-5.30%,-3.90%,0.71%,1.43%,5.19%,7.58%,-11.97%,0.00%,1.12,0.29,3.28%,3.96%,1.68%,5.06%,1.56%,-4.05%,20.34%,-13.73%,50.74%,58.36,0.71%,0.00%,2.00,260.35K,1.10,7.10,0.71%,"285,517",May 09/a,8.50,
4774,Z,"Zillow Group, Inc.",Technology,Internet Information Providers,USA,4.65B,-,47.56,-,5.50,2.80,-,-,-,-,-1.22,198.00%,67.30%,-,-,-,-,34.40%,119.34M,114.34M,-,-,-,-,18.87%,16.63,-,-,-,-,-,-,-,-,-,-,6.53%,16.28%,7.26%,21.08%,62.64%,6.94%,-,0.81,2.58%,1.94%,10.37%,10.77%,9.74%,-3.20%,19.78%,-3.20%,67.17%,75.11,-1.61%,0.23%,2.30,1.30M,0.98,39.00,-1.39%,"1,277,503",May 04/a,37.60,
4773,YY,YY Inc.,Technology,Internet Information Providers,China,2.67B,13.34,8.71,4.70,2.24,3.78,3.44,-,-,0.00%,3.67,39.60%,17.05%,31.80%,2.84%,91.40%,49.20%,30.80%,54.45M,31.67M,14.95%,0.00%,83.30%,-0.04%,5.96%,1.94,17.80%,35.60%,19.10%,1.30,1.30,0.00,0.55,37.80%,21.90%,18.60%,6.73%,4.04%,20.14%,-9.62%,-22.02%,24.23%,1.13,1.36,2.34%,2.77%,6.61%,5.58%,6.21%,-5.54%,14.15%,-22.85%,57.61%,65.41,0.97%,0.14%,2.00,975.30K,0.69,48.97,1.12%,"673,000",Mar 14/b,59.25,
4772,YUME,"YuMe, Inc.",Services,Advertising Agencies,USA,138.15M,-,12.24,-,0.86,1.46,2.28,11.14,-,-,-0.22,54.70%,25.93%,40.60%,-,18.50%,75.80%,-15.20%,33.21M,27.96M,4.80%,0.00%,53.50%,-2.58%,2.01%,9.19,-5.60%,-7.90%,-7.60%,2.90,2.90,0.00,0.00,50.00%,-4.60%,-4.80%,0.97%,5.05%,16.85%,9.47%,10.64%,16.20%,0.68,0.11,1.46%,2.56%,3.42%,9.24%,13.46%,-0.95%,20.58%,-4.59%,33.76%,66.39,-0.48%,-0.24%,3.30,61.09K,0.16,4.16,-0.72%,"9,853",May 18/a,3.25,
4771,YUMC,"Yum China Holdings, Inc.",Services,Restaurants,China,13.22B,24.13,21.68,1.85,1.96,5.12,10.54,31.63,-,0.00%,1.41,61.30%,11.39%,-51.90%,13.07%,3.90%,17.00%,-1.50%,387.53M,384.11M,0.10%,-,76.10%,-2.82%,1.74%,2.14,14.70%,23.60%,20.00%,1.60,1.40,0.01,0.00,50.60%,10.20%,7.90%,4.18%,28.22%,21.64%,37.86%,-,30.63%,-,0.68,1.87%,2.22%,8.55%,19.83%,24.32%,-1.52%,33.65%,-1.52%,43.42%,80.85,-0.58%,0.20%,2.10,3.13M,0.45,34.12,-0.38%,"1,416,848",Apr 05/a,33.99,
4770,YUMA,"Yuma Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,28.33M,-,-,-,1.95,0.22,-,2.23,-,-,-7.05,57.40%,-,-44.60%,-,37.40%,-484.70%,-57.60%,12.21M,9.88M,17.50%,0.00%,41.40%,-,0.56%,3.01,-23.60%,-52.50%,-16.20%,0.20,0.20,0.00,0.77,44.60%,-,-,-5.31%,-0.99%,-18.02%,954.55%,778.79%,-31.76%,1.52,0.17,5.59%,6.79%,-2.90%,-1.45%,23.66%,-26.81%,12.62%,-48.44%,-,44.82,-4.92%,4.72%,1.00,18.46K,1.02,2.32,-0.43%,"18,850",-,-,
4769,YUM,"Yum! Brands, Inc.",Services,Restaurants,USA,22.98B,26.46,21.03,2.04,3.61,-,32.65,604.83,1.83%,46.00%,2.49,17.50%,15.10%,-2.00%,13.00%,-12.80%,17.50%,-1.10%,349.56M,349.48M,0.10%,-5.39%,77.30%,0.18%,1.99%,2.58,20.00%,-83.20%,37.50%,1.10,1.10,-,-,62.60%,25.50%,25.40%,1.43%,3.14%,0.24%,7.68%,16.04%,4.79%,0.71,0.70,1.04%,0.95%,2.13%,1.89%,3.57%,-4.18%,5.11%,-4.23%,19.17%,63.26,-0.11%,-0.29%,2.40,2.70M,0.86,65.75,-0.39%,"2,311,444",May 03/b,69.76,
4768,YTRA,"Yatra Online, Inc.",Conglomerates,Conglomerates,India,335.80M,-,-,-,2.42,7.67,3.68,-,-,-,-2.27,-30.10%,-,-,-,-,-,7.70%,36.78M,35.04M,-,-,31.80%,0.01%,0.60%,5.80,-,-,-114.30%,1.40,1.40,0.26,0.93,52.90%,-,-,-1.19%,-2.87%,-7.22%,-,-,-2.35%,-,0.23,1.95%,2.29%,-3.14%,1.80%,-1.33%,-8.43%,18.42%,-14.51%,18.42%,45.39,-1.22%,0.91%,-,35.99K,1.26,9.13,-0.33%,"45,175",-,-,
4767,YRD,Yirendai Ltd.,Financial,Credit Services,China,1.47B,9.33,5.62,-,3.15,4.84,10.54,-,-,0.00%,2.68,260.90%,33.67%,-,-,-,305.90%,117.00%,58.90M,28.67M,-,-,8.80%,1.43%,6.32%,3.60,29.80%,67.80%,50.40%,-,-,0.00,0.00,93.80%,32.90%,34.50%,5.63%,0.81%,17.57%,-15.27%,106.11%,20.46%,-,0.83,2.83%,3.06%,2.14%,-1.02%,-0.81%,-21.11%,7.82%,-41.05%,149.05%,54.43,0.65%,0.81%,2.50,503.87K,0.61,24.96,1.46%,"306,166",Mar 15/a,30.93,
4766,YRCW,YRC Worldwide Inc.,Services,Trucking,USA,350.18M,16.63,5.89,-,0.07,-,2.56,140.07,-,0.00%,0.64,64.60%,68.53%,14.90%,-,-0.70%,68.40%,0.50%,32.85M,32.22M,2.80%,-14.46%,94.60%,0.06%,7.12%,3.49,1.20%,-5.70%,20.90%,1.40,1.40,-,-,11.10%,2.60%,0.50%,1.43%,-2.91%,-29.59%,-20.74%,19.91%,-19.73%,3.68,0.40,3.89%,3.64%,0.01%,-7.24%,-12.54%,-20.99%,6.49%,-37.18%,34.77%,43.96,-5.24%,0.72%,2.20,657.55K,0.74,10.66,-4.57%,"489,370",May 04/a,18.50,
4765,YPF,YPF S.A.,Basic Materials,Major Integrated Oil & Gas,Argentina,10.00B,-,12.58,-,0.73,1.31,8.40,-,1.20%,-,-4.70,-717.60%,132.88%,-53.00%,-2.30%,30.20%,201.70%,33.20%,386.99M,192.79M,99.50%,0.00%,26.80%,0.25%,1.61%,2.42,-6.80%,-22.30%,-8.40%,1.10,0.80,1.07,1.30,15.10%,-11.50%,-13.40%,1.97%,8.30%,17.25%,40.15%,28.38%,56.55%,2.07,0.71,2.18%,2.83%,2.00%,10.43%,32.66%,-2.45%,26.00%,-2.45%,72.20%,62.00,1.06%,0.43%,2.10,1.28M,0.42,25.83,1.49%,"541,391",Mar 09/a,24.42,
4764,YORW,The York Water Company,Utilities,Water Utilities,USA,481.65M,40.85,37.13,8.34,10.12,4.22,114.68,-,1.71%,67.70%,0.92,-5.30%,6.32%,5.30%,4.90%,3.20%,-16.70%,2.60%,12.84M,12.70M,0.90%,1.72%,33.70%,0.09%,1.42%,6.63,3.70%,10.50%,8.80%,1.50,1.50,0.74,0.74,-,48.10%,24.90%,-0.92%,9.01%,2.21%,20.14%,29.51%,-1.40%,0.60,0.99,3.67%,2.51%,4.46%,6.04%,13.13%,-5.66%,13.29%,-5.66%,43.96%,57.19,-2.85%,0.13%,4.00,27.12K,1.16,37.50,-2.72%,"31,510",May 02,27.00,
4763,YNDX,Yandex N.V.,Technology,Internet Information Providers,Russia,8.76B,73.88,23.93,185.15,6.52,6.43,7.85,31.28,-,0.00%,0.37,-30.30%,27.40%,3.50%,0.40%,30.50%,-57.10%,22.20%,321.24M,266.54M,2.92%,0.00%,84.90%,0.12%,0.43%,0.47,6.00%,9.10%,8.90%,5.10,5.10,0.24,0.24,74.00%,16.90%,9.00%,18.11%,22.57%,15.36%,43.85%,37.19%,35.42%,2.70,0.83,3.95%,3.07%,17.84%,17.61%,26.51%,-0.91%,27.38%,-0.91%,57.75%,75.21,1.56%,-2.04%,2.30,2.40M,1.57,27.26,-0.51%,"3,772,275",Apr 27/b,26.27,
4762,YIN,Yintech Investment Holdings Limited,Financial,Investment Brokerage - National,China,1.16B,6.79,4.88,-,2.93,1.91,5.16,-,5.08%,0.00%,2.32,130.90%,22.90%,-,-,-,602.60%,305.80%,73.34M,17.55M,-,-,1.60%,0.17%,0.10%,0.14,-,-,27.90%,-,-,0.00,0.00,-,38.60%,34.20%,-13.36%,-24.56%,19.98%,12.52%,50.76%,26.86%,-,0.91,7.49%,4.53%,-17.50%,-7.24%,12.36%,-29.77%,25.46%,-29.77%,90.52%,31.80,3.41%,-0.97%,1.00,131.04K,1.18,15.76,2.40%,"154,051",-,26.51,
