Id,Probability of Loss on Investment,Probability of Return on Investment,Probability Gap,Unnamed: 0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,enterpriseValue,enterpriseToEbitda,enterpriseToRevenue,pegRatio,sharesShort,profitMargins,sharesOutstanding,heldPercentInstitutions,trailingEps,forwardEps,bookValue,earningsQuarterlyGrowth,heldPercentInsiders,netIncomeToCommon,forwardPE,priceToBook,yahooBeta,totalDebt,operatingCashflow,operatingMargins,currentRatio,recommendationKey,grossProfits,returnOnAssets,totalCashPerShare,targetMedianPrice,targetHighPrice,totalRevenue,grossMargins,targetMeanPrice,revenueGrowth,earningsGrowth,revenuePerShare,ebitdaMargins,freeCashflow,recommendationMean,numberOfAnalystOpinions,quickRatio,totalCash,returnOnEquity,targetLowPrice,debtToEquity
4252,0.1,0.9,0.8,4252,549,BID,Sotheby's,Services,"Specialty Retail, Other",USA,2.48B,35.93,19.83,2.40,3.08,4.96,5.01,18.35,-,0.00%,1.32,101.00%,20.79%,-12.40%,15.00%,-0.60%,817.40%,-8.10%,52.42M,44.86M,15.10%,0.40%,91.90%,-0.18%,19.61%,14.46,2.90%,13.20%,5.80%,1.70,1.50,2.30,2.32,78.50%,15.20%,9.10%,4.07%,3.47%,18.40%,29.97%,71.97%,18.82%,1.95,1.08,1.78%,2.42%,3.50%,3.93%,19.32%,-5.03%,20.14%,-5.03%,89.74%,56.83,-1.29%,0.02%,2.30,608.05K,0.85,47.36,-1.27%,"517,128",Feb 27/b,50.00,,3091593984.0,16.588,3.839,1.62,43000.0,0.09202,53410000.0,1.111,1.27,2.39,9.541,,0.011569999,73111000.0,19.815898999999998,4.96384,1.94439,1176685056.0,158370000.0,0.20433001,1.7080000000000002,buy,,0.035660000000000004,9.363,54.0,56.0,805377024.0,0.48006000000000004,50.0,-0.081,,14.123,0.23142,135677248.0,2.3,5.0,1.311,496031008.0,0.11284000400000001,40.0,232.729
4226,0.1,0.9,0.8,4226,575,BL,"BLACKLINE, INC.",Technology,Application Software,USA,1.66B,-,-,-,13.46,5.39,15.75,-,-,-,-0.83,-83.80%,46.90%,-,30.00%,-,-124.60%,44.10%,50.40M,40.31M,6.60%,0.00%,74.60%,0.06%,2.76%,6.31,-11.90%,-20.70%,-9.40%,1.50,1.50,0.00,0.00,75.50%,-27.60%,-31.80%,0.24%,12.03%,18.92%,-,-,18.96%,-,0.99,3.48%,3.18%,5.42%,10.73%,18.93%,-2.49%,23.02%,-2.49%,51.75%,67.01,-0.78%,0.39%,2.00,176.14K,1.05,32.87,-0.39%,"185,491",May 04/a,31.60,,1577325568.0,,12.811,-3.44,636487.0,-0.31805,51283400.0,,-0.9209999999999999,-0.17,5.683,,,-39159000.0,,5.7839165,,992000.0,-4808000.0,-0.25975,1.51,buy,,-0.05653,2.052,33.0,35.0,123123000.0,0.75462997,31.6,0.444,,2.897,-0.13284999,8573875.0,2.0,5.0,1.36,105248000.0,-0.17115999999999998,27.0,0.34
4071,0.1,0.9,0.8,4071,730,CALI,China Auto Logistics Inc.,Services,Auto Dealerships,China,12.34M,-,-,-,0.03,0.51,4.11,-,-,-,-2.29,-,-,0.00%,-,-,-,21.50%,4.14M,2.39M,40.85%,0.00%,0.10%,29.05%,0.60%,0.02,-,-,-,1.20,1.10,0.00,3.64,0.80%,-,-,13.74%,97.35%,-16.29%,0.68%,178.22%,-13.14%,1.86,0.51,17.28%,24.53%,8.80%,18.72%,1.99%,-36.46%,129.23%,-36.46%,195.05%,52.57,-9.70%,1.54%,3.00,614.95K,0.51,2.98,-8.31%,"313,502",May 15,-,,69159080.0,220.213,0.14800000000000002,,9365.0,0.00853,4034390.0,0.017,0.987,,5.84,,0.40852,-741176.0,,0.51027393,1.8487799999999999,61593900.0,-50314116.0,0.0005,1.173,hold,2000000.0,0.00065,0.745,,,467060768.0,0.00457,,0.215,,115.76700000000001,0.00067000004,22001750.0,3.0,,0.382,3004932.0,-0.03249,,257.46
3992,0.1,0.9,0.8,3992,809,CCUR,Concurrent Computer Corporation,Technology,Computer Based Systems,USA,48.51M,-,-,-,0.79,2.86,2.58,-,9.70%,-,-1.86,-,-,-25.70%,15.00%,-1.80%,69.20%,4.00%,9.80M,8.33M,4.20%,0.00%,38.40%,0.53%,0.51%,2.35,-38.50%,-76.30%,-57.10%,2.40,2.20,0.00,0.00,57.90%,-6.00%,-27.70%,2.06%,1.85%,-4.81%,-20.42%,-19.25%,-7.48%,0.21,0.10,1.19%,2.12%,2.62%,1.35%,-7.08%,-4.07%,6.91%,-25.68%,6.91%,56.18,0.20%,0.00%,3.00,17.98K,0.15,4.95,0.20%,"2,685",May 02/b,8.00,,26101742.0,,0.424,,39575.0,-0.27701,9835690.0,0.465,-1.8559999999999999,,1.729,,0.07159,-17053000.0,,2.8629265,0.07271,0.0,2938000.0,-0.056799997000000005,2.391,hold,,-0.04757,2.031,8.0,8.0,61562000.0,0.58143,8.0,0.043,,6.696000000000001,-0.02822,5392625.0,3.0,1.0,2.134,18804000.0,-0.6371,8.0,
3883,0.1,0.9,0.8,3883,918,CIO,"CITY OFFICE REIT, INC.",Financial,REIT - Office,Canada,378.51M,-,-,-,5.22,2.15,27.63,-,7.49%,-,-0.19,75.90%,80.30%,-13.10%,10.00%,51.20%,-67.80%,21.70%,30.16M,28.69M,3.20%,7.51%,52.10%,2.14%,1.18%,1.98,-0.50%,-2.10%,-0.10%,-,-,2.60,2.60,60.80%,-0.40%,-3.60%,0.72%,6.70%,0.65%,2.92%,20.54%,-0.99%,-,0.19,1.46%,1.53%,2.01%,2.82%,2.28%,-3.45%,11.92%,-4.56%,22.28%,57.97,-0.87%,0.08%,1.60,170.52K,0.69,12.55,-0.79%,"117,290",May 05/b,14.83,,732299968.0,23.721,10.106,-4.52,351890.0,-0.01163,30257400.0,0.337,-0.128,-0.12,5.832000000000001,,0.16008,-2624000.0,,2.1519206000000004,0.22470700000000002,370056992.0,19147000.0,0.00545,2.417,buy,,0.00045000002,0.45399999999999996,14.75,16.0,72461000.0,0.60787,14.83,0.214,,3.542,0.42605,28274250.0,1.6,6.0,1.51,13703000.0,0.00228,14.0,144.52
3842,0.1,0.9,0.8,3842,959,CM,Canadian Imperial Bank of Commerce,Financial,Money Center Banks,Canada,32.09B,9.26,7.39,2.56,3.51,1.84,0.31,-,4.70%,41.10%,8.73,20.60%,2.19%,9.80%,3.62%,0.10%,43.40%,7.60%,396.95M,396.95M,-,-,70.80%,11.17%,2.65%,14.87,0.90%,21.20%,25.50%,-,-,0.14,0.14,-,60.10%,37.80%,-2.44%,-8.06%,-5.15%,9.81%,4.43%,0.13%,1.10,1.32,1.61%,1.48%,-4.42%,-6.56%,1.32%,-11.40%,1.43%,-11.40%,14.09%,28.46,0.27%,0.00%,2.80,706.76K,1.62,80.83,0.27%,"1,142,321",May 25/b,92.06,,5177988096.0,,0.47100000000000003,5.28,10835300.0,0.32069000000000003,399559008.0,,8.828,8.02,44.156000000000006,0.435,,3495278592.0,10.078553,1.8305554,,72367710208.0,-24700868608.0,0.39116999999999996,,hold,,0.009509999,251.01,87.83,107.8,10988160000.0,0.0,92.49,0.20199999999999999,0.44,27.778000000000002,0.0,,2.8,3.0,,100293206016.0,0.20218,81.85,
3763,0.1,0.9,0.8,3763,1038,COWN,"Cowen Group, Inc.",Financial,Investment Brokerage - National,USA,542.98M,-,9.06,-,1.15,0.56,4.18,-,-,-,-0.97,-171.10%,72.06%,22.80%,10.00%,14.90%,-113.00%,10.60%,34.15M,25.62M,8.40%,-0.26%,91.10%,0.07%,16.69%,10.98,-1.40%,-3.40%,-4.50%,-,-,0.17,0.61,85.50%,-16.00%,-5.50%,18.66%,4.95%,4.95%,20.45%,9.81%,2.58%,1.52,0.68,4.67%,3.60%,14.80%,13.31%,12.52%,-3.05%,27.71%,-5.07%,45.60%,67.67,7.07%,10.00%,2.50,389.49K,5.71,15.90,17.78%,"2,222,784",Apr 27/a,18.50,,-349262880.0,,,1.32,3908860.0,-0.048800003,27310000.0,,-0.971,1.76,25.267,,,-26069000.0,9.034091,0.62927926,1.67019,228393008.0,-354773984.0,-0.18485,1.847,buy,,-0.006509999999999999,35.141999999999996,18.5,20.0,394999008.0,0.72336996,18.5,-0.13,,14.707,0.0,,2.5,2.0,1.781,933681984.0,-0.011640000000000001,17.0,19.828
3761,0.1,0.9,0.8,3761,1040,CPA,"Copa Holdings, S.A.",Services,Regional Airlines,Panama,4.86B,14.47,13.35,-,2.19,2.67,5.97,8.88,1.75%,25.40%,8.05,256.40%,13.16%,2.80%,-,3.90%,124.00%,12.90%,41.76M,31.11M,25.30%,0.00%,-,-,5.01%,4.56,9.00%,19.40%,8.00%,1.20,1.10,0.52,0.64,76.20%,12.40%,15.30%,1.85%,4.98%,19.02%,30.54%,83.79%,28.79%,1.55,2.18,2.28%,1.85%,2.06%,6.08%,26.41%,-0.50%,19.67%,-0.50%,143.75%,62.34,0.80%,0.04%,2.60,341.68K,1.18,116.42,0.84%,"402,887",May 10/a,109.16,,5214215680.0,11.962,2.347,0.16,1944150.0,0.15295,31112400.0,,8.023,8.85,43.593,,,339844992.0,13.154801,2.6706123,1.8281,1184131968.0,586590016.0,0.1245,1.159,hold,614000000.0,0.04573,19.222,110.0,128.0,2221849088.0,0.27655,109.16,0.129,,52.45399999999999,0.19618,300751488.0,2.6,19.0,1.0070000000000001,814689024.0,0.19787000000000002,73.0,64.09100000000001
3737,0.1,0.9,0.8,3737,1064,CQP,"Cheniere Energy Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,10.63B,-,11.41,-,9.66,24.80,-,-,5.35%,-,-0.50,46.30%,0.51%,-9.10%,-,31.10%,252.30%,718.10%,334.89M,44.71M,27.21%,-0.01%,46.60%,0.08%,4.44%,11.11,-1.10%,-35.70%,1.20%,1.10,1.00,32.90,33.42,46.30%,16.20%,-15.20%,-1.09%,-1.98%,4.55%,16.82%,15.70%,11.73%,1.02,0.66,1.62%,2.05%,-1.43%,-0.92%,10.22%,-5.14%,4.10%,-5.14%,26.40%,42.07,-0.81%,-0.96%,2.00,178.81K,1.32,31.75,-1.76%,"236,539",May 30/b,35.38,,25286144000.0,62.272,22.982,,2153000.0,-0.15560001,57109200.0,0.35099998,-0.49700000000000005,2.64,1.278,,0.27208000000000004,-167772000.0,12.026515,24.843506,0.833633,14441918464.0,-249000.0,0.22761999,1.12,buy,,0.011030001000000001,,36.0,39.0,1100240000.0,0.46243,35.62,7.185,,3.2569999999999997,0.36905998,-2562441984.0,2.0,13.0,0.221,,-0.29619,31.0,3259.6290000000004
3649,0.1,0.9,0.8,3649,1152,CUDA,BARRACUDA NETWORKS INC.,Technology,Communication Equipment,USA,1.10B,105.89,23.67,5.28,3.11,169.42,5.48,19.07,-,0.00%,0.19,329.30%,11.27%,73.60%,20.07%,17.00%,-2.20%,6.70%,53.94M,36.51M,8.40%,-47.81%,53.90%,-6.46%,2.01%,1.14,2.30%,-122.00%,98.10%,1.00,1.00,0.00,0.64,76.20%,6.30%,2.90%,0.94%,-13.82%,-10.99%,-15.11%,12.69%,-5.13%,3.40,0.79,3.11%,3.42%,-7.47%,-10.71%,-11.65%,-16.10%,6.66%,-23.83%,46.15%,35.93,0.99%,0.15%,2.00,642.96K,0.94,20.33,1.14%,"604,307",Apr 17/a,28.56,,867760512.0,22.193,2.461,1.3,716029.0,0.029019999999999997,52776400.0,0.5820000000000001,0.19,0.86,0.122,-0.004,0.37522,10235000.0,23.639534,166.63934,2.99138,4114999.0,65203004.0,0.06427999999999999,1.048,buy,,0.03204,3.7889999999999997,29.5,33.0,352648992.0,0.76245004,28.56,0.066,-0.004,6.723,0.11087999999999999,41410752.0,2.0,16.0,0.8540000000000001,200108992.0,,20.0,64.067
3608,0.1,0.9,0.8,3608,1193,CXP,"Columbia Property Trust, Inc.",Financial,REIT - Office,USA,2.75B,32.99,104.65,-,5.81,1.10,12.74,539.74,3.56%,175.90%,0.68,91.50%,1333.33%,23.70%,-,-0.80%,177.50%,-20.30%,122.34M,121.88M,0.50%,0.00%,65.20%,1.25%,0.80%,1.50,1.90%,3.30%,2.00%,-,-,0.61,0.61,63.00%,17.00%,17.70%,0.04%,1.95%,1.90%,6.72%,4.22%,5.06%,1.14,0.36,1.89%,1.50%,-0.53%,-0.03%,2.19%,-3.56%,5.24%,-6.54%,17.35%,46.84,-0.49%,0.58%,2.30,651.84K,1.28,22.50,0.09%,"831,674",Apr 27/a,24.40,,4073265152.0,20.008,8.602,,1026530.0,0.17798,122451000.0,0.45,0.68,0.22,20.484,1.694,0.07199,83967000.0,102.27273000000001,1.0984184,1.12608,1535319936.0,193091008.0,0.20965,5.205,buy,,0.013819999999999999,1.765,25.0,26.0,473543008.0,0.6303,24.4,-0.203,1.714,3.846,0.42990002,-199062624.0,2.3,5.0,1.946,216085008.0,0.03294,22.0,61.345
3559,0.1,0.9,0.8,3559,1242,DEA,"Easterly Government Properties, Inc.",Financial,REIT - Office,USA,751.08M,195.34,100.60,-,7.18,1.29,156.47,136.56,4.77%,874.70%,0.10,224.80%,37.93%,-,-,-,991.40%,29.70%,37.33M,36.85M,0.10%,20.11%,54.60%,0.30%,14.58%,19.64,0.30%,0.70%,1.50%,-,-,0.52,0.52,70.40%,12.40%,3.20%,-2.71%,3.34%,1.93%,6.85%,14.92%,1.68%,-,0.36,1.63%,1.81%,-1.88%,-0.08%,4.14%,-5.89%,5.45%,-5.89%,20.08%,42.94,-0.94%,0.10%,2.40,273.56K,0.74,20.12,-0.84%,"202,737",May 09/b,21.25,,1046580480.0,19.309,10.004,,412611.0,0.032639999999999995,41275300.0,0.546,0.1,0.2,15.174000000000001,9.914,0.4388,3313000.0,100.60000600000001,1.3259524,,292972992.0,47377000.0,0.14062999,1.056,buy,,0.00939,0.23399999999999999,21.0,24.0,104618000.0,0.70392996,21.25,0.297,7.8260000000000005,3.4139999999999997,0.5180899999999999,54712376.0,2.4,4.0,0.873,8630000.0,0.00719,19.0,42.042
3543,0.1,0.9,0.8,3543,1258,DFT,"DuPont Fabros Technology, Inc.",Financial,REIT - Office,USA,3.99B,31.47,25.72,15.74,7.54,5.07,103.29,-,3.88%,115.30%,1.64,519.80%,8.56%,18.90%,2.00%,13.00%,135.90%,22.30%,77.34M,64.44M,1.00%,-0.10%,97.00%,-0.04%,10.16%,8.88,4.10%,16.30%,10.50%,-,-,1.63,1.63,67.00%,39.80%,23.30%,0.68%,6.93%,9.56%,24.75%,34.10%,18.56%,0.79,1.06,2.66%,1.86%,1.81%,4.31%,15.97%,-3.30%,10.65%,-3.30%,40.34%,56.12,-1.49%,-0.15%,2.20,737.58K,0.93,51.55,-1.64%,"682,495",Apr 27/b,53.07,,5067664896.0,15.987,9.846,14.17,6549420.0,0.30541999999999997,77527000.0,1.0669999,1.67,2.0,10.128,,0.0089,123965000.0,25.775,5.08985,1.06328,1248017920.0,289962016.0,0.40728000000000003,0.935,buy,,0.04476,0.513,54.0,58.0,514690016.0,0.66146004,53.07,0.187,,7.05,0.6158899999999999,274226976.0,2.3,15.0,0.755,38624000.0,0.12122000000000001,37.0,80.09899999999999
